452	546
2021	2574
2925	3054
1404	1720
1731	1814
2028	2191
3040	3362
25	26
1939	2608
4002	4027
1737	1800
954	1014
728	824
3054	3315
1577	2294
2409	2507
169	322
3241	3412
1684	2760
1940	2010
3702	3845
2719	3274
2946	3363
1409	1898
2061	2648
2047	2582
400	561
98	276
2690	2871
2060	2104
1945	2007
1117	1551
3759	3957
2711	3118
1722	1826
113	325
3113	3351
353	1487
1247	1408
2856	3099
1976	2447
2125	2338
3014	3417
2060	2163
1302	1610
2038	2111
2028	2328
2988	3073
3546	3580
1129	1873
1912	2448
966	1737
1040	1571
1211	1563
1966	2536
2352	2506
1912	2083
2341	2659
2083	2478
2150	2237
1786	1873
444	460
496	508
348	418
606	968
2856	3212
3481	3883
2907	3158
2294	2420
2052	2603
1067	1104
1158	1732
514	559
2891	3142
2684	2775
2059	2550
1985	2137
1164	1644
2007	2498
517	1514
1178	1866
3501	3734
257	280
2084	2504
3437	3520
2909	2986
3098	3108
2169	2399
2027	2657
1359	1409
1941	2601
2854	3286
107	1698
3242	3411
1104	1257
3456	3633
2423	2611
425	553
1191	1211
2607	2654
2078	2354
765	835
1912	2639
1926	2547
2150	2188
2833	3082
1912	2319
2418	2602
3623	3818
158	242
2750	2940
2597	2643
1123	1341
1951	2447
1925	2233
2105	2570
1344	1589
2681	3324
3766	3933
2872	3064
2240	2287
1199	1271
3509	3906
2063	2303
2823	3082
2323	2418
1377	1813
745	824
1779	1822
1927	2006
1917	2408
705	847
2246	2509
2032	2516
1309	1392
947	1833
1310	1472
3584	3821
1048	1570
128	315
1942	2584
1715	1873
1500	1634
2103	2409
2078	2266
2943	2960
3049	3078
2361	2397
1221	1322
1943	2303
122	232
363	1349
2515	2545
1717	1746
2951	2984
2073	2112
404	462
1255	1813
3674	3962
2335	2371
2326	2410
2706	2806
3281	3377
1628	1661
1920	2384
1211	1222
92	330
997	1243
2266	2646
980	1269
2790	2813
3090	3195
3272	3328
1000	1840
1006	1124
2188	2261
2485	2553
2040	2088
2007	2510
2351	2642
804	882
1070	1738
1427	1526
1017	1293
170	304
3437	3805
1256	1605
1079	1107
349	478
2172	2386
1431	1621
3490	3624
3437	3731
414	591
2914	3013
3710	3867
2220	2334
1919	2225
983	1547
1139	1906
2116	2571
1964	1977
3633	3938
948	1526
1267	1483
925	1746
3168	3179
1946	2499
1718	2032
942	1014
526	1114
3690	3955
2150	2521
2201	2564
23	237
1965	2361
2718	3032
1684	3123
483	1446
1665	1839
1663	1768
1637	1774
2500	2506
781	814
1275	1828
2313	2558
3596	3687
170	323
980	1589
